score,coverage,observed_fit,published_at_br,title,company,work_model,city,source,enrichment_status,enrichment_method,enrichment_attempts,description_length,url,reasons
45,60,42,2026-08-14T07:39:00-03:00,"Senior Software Engineer, BackEnd",Flutter Brazil,remote,BR,inhire,,,,,https://flutterbrazil.inhire.app/vagas/83cb53be-cfc7-4dc3-97f3-6e8385fdd5c0/senior-software-engineer-backend,função-alvo não identificada: 0/30 | competências técnicas sem dados suficientes — não penalizadas | segmento: 11/15 (tecnologia/SaaS) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 42% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 60%
45,60,48,2026-08-13T18:12:08-03:00,[Contabilidade] Analista Contábil Sênior (CRC ativo),Contabilizei,remote,BR,inhire,,,,,https://contabilizei.inhire.app/vagas/66f73c06-a71e-4fdc-b571-fe43a886da5c/contabilidade-analista-contabil-senior-crc-ativo,função-alvo não identificada: 0/30 | competências técnicas sem dados suficientes — não penalizadas | segmento: 15/15 (financeiro/pagamentos) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 48% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 60%
45,60,37,2026-08-13T17:31:03-03:00,ANALISTA DE SISTEMAS/REQUISTOS JR (GOIAS/HIBRIDO) - RHA3282,Spread Tecnologia,remote,,gupy,,,,,https://spread.gupy.io/job/eyJqb2JJZCI6MTIwNzM0MzAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,função-alvo não identificada: 0/30 | competências técnicas sem dados suficientes — não penalizadas | segmento: 11/15 (tecnologia/SaaS) | senioridade: 6/10 (senioridade júnior) | remoto: 5/5 | fit observado: 37% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 60%
45,60,33,2026-08-13T17:04:51-03:00,BANCO DE TALENTOS — ESTAGIÁRIO(A) | ARQUITESTO(A) EM IA GENERATIVA (CCAF),Vertigo Tecnologia,remote,BR,inhire,,,,,https://vertigo.inhire.app/vagas/cd7f8f86-a73d-446b-84dd-68ffb4d1e83d/banco-de-talentos-estagiario-a-arquitesto-a-em-ia-generativa-ccaf,função-alvo não identificada: 0/30 | competências técnicas sem dados suficientes — não penalizadas | segmento: 15/15 (financeiro/pagamentos) | senioridade: 0/10 (nível de entrada fora do alvo) | remoto: 5/5 | fit observado: 33% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 60%
45,60,27,2026-08-13T16:34:16-03:00,Estagiário de Suporte e Operações,Phoebus Tecnologia,remote,,gupy,,,,,https://phoebus.gupy.io/job/eyJqb2JJZCI6MTIwNzg4NTgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,função-alvo não identificada: 0/30 | competências técnicas sem dados suficientes — não penalizadas | segmento: 11/15 (tecnologia/SaaS) | senioridade: 0/10 (nível de entrada fora do alvo) | remoto: 5/5 | fit observado: 27% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 60%
45,60,43,2026-08-13T16:33:13-03:00,Engenheiro (a) de Software Backend Pleno,Azos,remote,BR,inhire,,,,,https://azos.inhire.app/vagas/d3064f32-d525-4ad6-a1ea-39b376061da9/engenheiro-a-de-software-backend-pleno,função-alvo não identificada: 0/30 | competências técnicas sem dados suficientes — não penalizadas | segmento: 11/15 (tecnologia/SaaS) | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | fit observado: 43% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 60%
45,60,42,2026-08-13T15:41:19-03:00,Sênior Software Engineer Fullstack,Stone,remote,Remoto,stone,,,,,https://job-boards.greenhouse.io/stone/jobs/7853821003,função-alvo não identificada: 0/30 | competências técnicas sem dados suficientes — não penalizadas | segmento: 11/15 (tecnologia/SaaS) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 42% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 60%
45,60,42,2026-08-13T15:10:01-03:00,Desenvolvedor(a) de Software Sênior,e-Core,remote,BR,inhire,,,,,https://ecore.inhire.app/vagas/5c58b9ec-4528-43b4-a831-87d556a6ed3a/desenvolvedor-a-de-software-senior,função-alvo não identificada: 0/30 | competências técnicas sem dados suficientes — não penalizadas | segmento: 11/15 (tecnologia/SaaS) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 42% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 60%
45,60,42,2026-08-13T14:45:08-03:00,Engenharia de Software Sênior - Python | RD Station (Remoto),RD Station,remote,"Remoto, Brasil",greenhouse,,,,,https://job-boards.greenhouse.io/rdstation/jobs/8694811002,função-alvo não identificada: 0/30 | competências técnicas sem dados suficientes — não penalizadas | segmento: 11/15 (tecnologia/SaaS) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 42% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 60%
45,60,43,2026-08-13T13:34:44-03:00,Desenvolvedor Python Pleno,Montreal | Tecnologia e Inovação,remote,,gupy,,,,,https://montreal.gupy.io/job/eyJqb2JJZCI6MTIwNzU3MjYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,função-alvo não identificada: 0/30 | competências técnicas sem dados suficientes — não penalizadas | segmento: 11/15 (tecnologia/SaaS) | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | fit observado: 43% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 60%
45,60,43,2026-08-13T12:03:59-03:00,Analista de New Ventures Pleno,Asaas,remote,,gupy,,,,,https://asaas.gupy.io/job/eyJqb2JJZCI6MTE4NDkyOTgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,função-alvo não identificada: 0/30 | competências técnicas sem dados suficientes — não penalizadas | segmento: 11/15 (tecnologia/SaaS) | senioridade: 10/10 (senioridade pleno) | remoto: 5/5 | fit observado: 43% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 60%
45,60,48,2026-08-13T11:12:03-03:00,[Contabilidade] Especialista Contábil | Transformação Digital,Contabilizei,remote,BR,inhire,,,,,https://contabilizei.inhire.app/vagas/d6d59bd7-057f-4467-ac6d-5118ee17c9ef/contabilidade-especialista-contabil-transformacao-digital,função-alvo não identificada: 0/30 | competências técnicas sem dados suficientes — não penalizadas | segmento: 15/15 (financeiro/pagamentos) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 48% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 60%
45,60,42,2026-08-13T11:11:06-03:00,Engenheiro(a) de Software Backend | Sênior,NSTECH,remote,BR,inhire,,,,,https://nstech.inhire.app/vagas/cc8f118c-48e5-447c-91c9-29b2797e5c9c/engenheiro-a-de-software-backend-senior,função-alvo não identificada: 0/30 | competências técnicas sem dados suficientes — não penalizadas | segmento: 11/15 (tecnologia/SaaS) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 42% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 60%
45,60,42,2026-08-13T09:19:24-03:00,ANALISTA DE ENGENHARIA DE SOFTWARE SR (FOCO EM TWILIO) - Remoto,Vagas Inmetrics,remote,,gupy,,,,,https://inmetrics.gupy.io/job/eyJqb2JJZCI6MTIwNjQ4NjcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,função-alvo não identificada: 0/30 | competências técnicas sem dados suficientes — não penalizadas | segmento: 11/15 (tecnologia/SaaS) | senioridade: 9/10 (senioridade sênior/especialista) | remoto: 5/5 | fit observado: 42% com ajuste de incerteza | teto aplicado: cargo fora da função-alvo | cobertura da análise: 60%
